id,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,verifyName
3630224965,16671,0.3147,42,170,303354,98,91,20,0,0,1,夏台凤
1582940572,16631,0.2931,6,39,620109,51,6,0,0,0,1,云翔
3098009247,17879,0.3619,208,499,147039,63,121,7,0,0,1,项杰
1871850493,8244,0.3239,166,0,0,0,0,0,0,0,1,田子洳
3180326580,16631,0.2892,13,52,1263039,36,1,1,0,0,1,成勋
2270835963,16663,0.2945,61,11,2358365,62,2,0,0,0,1,周贵元
2621925327,16642,0.3241,53,11,1951904,23,1,0,0,0,1,郭中友
1290564424,8389,0,2,0,0,0,0,0,0,0,1,郭翠芳
3058435585,8244,0.3189,401,133,557816,57,92,2,0,0,1,王磊
1236024672,16631,0.2918,292,916,147646,61,82,0,0,0,1,刘恒宇
1654808160,16677,0.3605,239,891,170026,24,281,9,0,0,1,杨嘉芸
2548345064,16756,0.3587,192,266,286471,17,48,5,0,0,1,林晓哲
2945841227,16631,0.2743,20,21,21623,32,2,1,0,0,1,赵静
2170554434,8244,0.3287,269,0,0,0,0,0,0,0,1,王谨轩
1751278773,16631,0.2915,85,0,0,0,0,0,0,0,1,乐诗辰
2735607553,16631,0.3241,37,17,4751548,33,2,0,0,0,1,陈煜
1886391592,16657,0.371,475,1273,105998,29,334,21,0,0,1,那娜
1916299521,16633,0.3398,172,184,699676,46,73,4,0,0,1,郭紫祺
1865525280,16723,0.3333,237,959,143330,35,78,32,0,0,1,周翊翀
1984522777,16641,0.2693,26,18,5435743,42,4,1,0,0,1,李日焺
2719155711,17973,0.343,247,268,43052,27,63,23,0,0,1,叶静仪
1917106820,16631,0.3006,29,0,0,0,0,0,0,0,1,桑妮
1344628373,0,0,483,145,576978,50,47,0,0,0,1,李晓璇
1244383614,0,0,14,149,605707,48,22,0,0,2,1,李甫
1777908445,16650,0.283,177,131,158815,36,34,0,0,0,1,杨惜琳
1527182517,8244,0.2917,205,2044,66698,29,383,5,0,0,1,陈嘉劲
1389497841,8244,0.2688,200,467,254614,59,91,4,99,2,1,李浚一
2043681231,16679,0.3328,116,400,149914,29,98,2,1342,4,1,江蓉
2096129161,0,0,120,120,990279,64,36,0,0,0,1,滭龙杰
2419002124,16715,0.3525,264,11,7362982,10,1,0,0,0,1,秦浩
2501797185,16631,0.216,4,14,1014287,58,2,2,0,0,1,高娜恩
1551159760,16780,0.3485,936,3492,43339,59,558,42,0,0,1,刘若晴
1678448712,16631,0.3246,240,1687,94570,39,246,53,0,0,1,刘宇哥
2381003130,16659,0.2969,169,240,453912,25,49,0,24,0,1,曹召
1751842910,16631,0.2703,27,219,673412,72,47,0,0,0,2,王行芝
1802296863,16632,0.3116,37,0,0,0,0,0,0,864,2,黄远
3166826197,16674,0.3512,285,119,602542,16,33,2,0,0,2,叶少喃
1896493083,16636,0.3474,307,90,619721,27,23,0,0,495,2,胡妮娜
1799896413,16664,0.3434,334,18,1176260,25,5,0,0,0,2,程培皓
2680628824,16697,0.3166,67,590,170172,67,129,1,0,0,2,陈楚寰
1571721145,16637,0.3315,107,1292,99374,27,320,3,0,0,2,于小夫
1846405005,16665,0.3168,193,39,190485,47,9,0,0,0,2,翟廷军
2464201063,16974,0.347,628,1259,84576,30,256,24,396,193,2,芦浩
2612296287,16739,0.361,217,358,246393,42,73,1,0,0,2,冯偌凝
1920297644,16635,0.2889,81,23,4269076,54,9,0,0,0,2,孙照年
3285862351,16631,0.2353,25,33,1948227,95,1,0,0,0,2,崔宇植
1934013992,18085,0.372,345,1309,91513,53,324,34,0,0,2,张扬子
1662961785,16633,0.3472,272,188,571881,53,64,3,0,0,2,郭婷婷
2380969435,16999,0.3598,163,40,1538469,59,18,2,0,4,2,刘天松
2725872933,8393,0,13,26,3413922,61,8,5,0,0,2,全慧彬
1871943077,16686,0.3333,221,1018,130839,47,240,17,0,0,2,晓晨
1749113613,8244,0.3494,335,179,494166,50,47,6,0,0,2,吴子毅
1668200353,16758,0.3612,2384,634,239743,67,112,0,0,0,2,李友胜
3389873114,16682,0.3245,83,195,273169,96,69,5,0,0,2,孙语赛
2830702922,8389,0,8,100,854179,43,10,6,0,0,2,崔丹尼尔
1973393537,16739,0.3467,790,4699,27282,46,994,146,0,0,2,田家川
1407335202,16700,0.3291,1374,275,448859,85,91,89,0,0,2,向嵩
1664076712,16677,0.3188,223,568,202399,47,172,2,0,0,2,凯利
1765026844,16701,0.3189,220,1192,111872,46,313,39,0,0,2,王盈
2008684567,16633,0.3232,15,0,0,0,0,0,0,0,2,夏小龙
1907506295,16637,0.342,337,2613,50463,33,631,3,0,0,2,马佳麒
1757836717,16631,0.2868,222,3485,42420,40,606,23,0,0,2,刘旆豪
1832181532,17130,0.3337,195,751,137935,34,5,0,1528,85,2,北代高士
1150189352,16639,0.3069,497,1572,67956,37,351,98,0,0,2,郑国芳
1619471617,16704,0.3077,19,116,904674,51,18,4,0,822,2,陈之财
1698239063,16690,0.3284,156,145,795296,62,26,3,0,0,2,刘剑
1949188683,8389,0,4,50,206177,41,5,1,44,0,2,沈海蓉
2409265240,17149,0.359,83,84,1180681,44,14,1,119,249,2,周俊伽
1836048927,16654,0.339,364,421,324482,41,144,4,0,247,2,李娜
1863697700,16688,0.3174,656,1482,92928,53,287,19,0,0,2,李晓燕
1271162670,8389,0,3,0,0,0,0,0,0,0,2,胡清蓝
1893465355,17362,0.3309,506,3399,34388,44,958,40,0,0,2,虞颖嫣
1102743380,16746,0.3326,185,760,147927,42,232,68,0,0,2,王竹琴
1805287042,16642,0.293,50,492,97982,17,18,1,0,0,2,乙黑绘里
1140681197,16683,0.3096,169,292,359666,42,105,7,0,0,2,云熙程
2790509331,17586,0.3596,418,434,191709,44,131,0,0,0,3,王紫馨
1919873587,16632,0.3036,463,1832,24288,46,560,52,0,0,3,丹丹
1634051141,16655,0.3243,411,330,155012,57,69,5,0,0,3,崔钰
1887365097,16631,0.2787,23,384,283212,56,92,15,0,0,3,申思
2434772392,25020,0.311,124,100,385406,74,22,0,0,27,3,牛长鑫
2960415160,16647,0.2793,10,94,211776,71,13,14,3512,15024,3,金镇佑
2121755347,16635,0.2737,7,24,158678,6,15,4,559,759,3,徐敏
1821004364,16631,0.2833,100,109,785756,32,20,4,0,169,3,林家宇
1736050980,16651,0.303,681,7947,17974,61,2318,1312,3818,678,3,伦沙
1667880400,16679,0.3437,142,453,297685,34,100,20,0,0,3,刘忆瑾
1577911572,16743,0.3539,373,3192,43548,25,927,44,25,108,3,刘雅桐
1348270264,16637,0.3303,90,29,926615,28,6,2,0,0,3,郑耿一
1760532195,16681,0.3453,152,846,173963,75,245,60,0,0,3,金小琴
1876558715,16661,0.3343,92,409,302533,48,137,14,0,0,3,陈述
2730428410,16631,0.2047,15,117,789709,25,17,4,0,0,3,晶爱丽
1859440380,16672,0.357,499,1989,69164,31,530,278,9276,0,3,杨旭
1798545361,16719,0.3369,156,435,304167,33,147,10,0,0,3,焦婷
1746109351,16674,0.3009,611,2972,50803,76,385,2,0,0,3,钱俊才
2096627307,16711,0.3291,121,212,443370,49,52,0,0,0,3,翟彦森
2182434713,16708,0.3348,157,101,922335,70,36,0,0,0,3,张雯熙
2101489365,16631,0.3137,61,686,181084,37,118,8,0,0,3,单建东
2647464002,16792,0.309,48,43,107498,29,1,1,9882,1462,3,张建康
2258835602,16707,0.2894,360,2302,49837,66,876,3,0,0,3,陈晶晶
3165518722,17624,0.3249,123,125,523374,75,39,1,0,0,3,陈希爱
2703079651,8389,0,1,0,0,0,0,0,0,191,3,周佳琪
1898737300,16637,0.2773,693,2401,55126,114,1571,11,119,0,3,阿贝哥
1590904175,16631,0.298,121,1955,48253,45,470,43,0,0,3,郭宇光
1584569352,16631,0.3243,247,1889,68724,37,511,93,0,0,3,沈凡裕
2001048123,16650,0.3089,11,0,0,0,0,0,0,247,3,王盛德
2157918922,16651,0.2742,187,2898,40539,40,861,65,0,0,3,乔馨
2427513250,8397,0,5,360,117121,44,36,0,0,0,3,希志爱野
1813150531,16648,0.3402,598,2468,57083,52,755,229,18,0,3,谭雪
2740914322,18015,0.3537,411,1279,73545,68,242,16,0,0,3,欧定兴
1324848761,16717,0.3112,361,959,164260,45,252,13,0,0,3,黄雅知
2595683625,16742,0.3195,104,193,183042,24,51,3,0,0,3,金敬雅
3187742910,16631,0.2938,149,54,917317,24,10,1,0,0,3,余晓彬
2945848263,16658,0.2103,5,0,0,0,0,0,0,0,3,尹素怡
1872317042,16670,0.3234,157,1049,128661,52,361,8,0,0,3,汤沁
2020030583,16716,0.2721,130,498,219443,37,181,1,0,0,3,车龙源
1666082645,16667,0.3023,280,1377,120734,36,142,7,0,0,3,于紫唯
2656599041,16639,0.3229,164,27,199404,43,4,0,0,0,4,丘梓欣
1837231013,16965,0.3503,598,5310,25468,47,1623,158,0,0,4,大田儿
1735806812,16775,0.3559,831,1629,92671,27,448,17,0,0,4,博博
2213237331,18004,0.3395,262,475,244782,22,89,8,0,0,4,常亮
2880070793,16654,0.3276,33,13,916352,31,2,0,0,0,4,苗乙乙
3614386134,16698,0.2867,27,95,533146,63,12,0,0,0,4,陈秀雯
3112197022,13894,0,5,24,1980915,48,7,6,626,1,4,金亚中
1788083283,16662,0.3209,88,54,441276,53,10,6,3,0,4,洪晨颖
1279565784,19069,0.4009,983,2788,57284,32,857,61,0,0,4,孙璐
1985461775,16686,0.3322,260,109,1166348,47,23,0,17,504,4,卢伟
1901453304,16666,0.3256,242,546,193907,54,175,7,0,0,4,霍露
1817665341,16639,0.3369,98,23,4304327,15,0,0,0,0,4,傅剑虹
1906179223,17406,0.3442,820,125,447774,38,15,1,0,0,4,陈于婕
3164084703,16696,0.3137,53,213,328320,106,49,1,0,246,4,吴静娴
2011245520,16656,0.2711,219,407,303071,35,102,0,0,14,4,周上允
1762650441,16728,0.351,217,683,209659,20,187,15,0,0,4,筱牧
2635779777,8391,0,63,117,773090,54,12,1,0,0,4,郭蔼明
1595375213,16790,0.351,280,44,2417502,46,13,1,100,31,4,崔景天
2239692372,16878,0.3325,153,2136,53427,60,804,71,1736,6787,4,闻雯
1586505725,18904,0.3793,536,301,472060,41,59,2,3,0,4,曹志颖
2248203065,16715,0.3369,238,505,226284,48,154,22,0,0,4,曾馨乐
2091051505,16730,0.3167,94,94,1178468,45,18,0,0,5,4,杨燕宇
2166984470,17403,0.3195,294,1087,107807,59,288,31,0,0,4,林姝敏
1882135105,16686,0.3184,70,294,457359,50,31,5,0,0,4,谭筠怡
1752988902,16672,0.3128,75,52,1380142,90,15,0,0,0,4,昊明
2186887617,16835,0.3398,395,164,339550,60,58,11,0,0,4,汪芫
2148653794,17068,0.3503,393,552,213146,53,205,24,0,0,4,张莹静
1267051322,8389,0,2,0,0,0,0,0,0,0,4,马雅舒
1850853882,18318,0.3954,902,1228,107163,38,376,47,0,0,4,王冉
2080466315,16796,0.3527,452,1153,89606,46,205,2,237,0,4,王龙
1647491581,16652,0.3132,170,1359,126095,53,299,50,0,0,4,晓庆
2024663124,16689,0.31,88,262,473930,40,97,7,0,0,4,李晔
2419837362,17038,0.361,418,401,234890,52,211,21,0,0,4,孟瑞娟
2249381962,16802,0.2812,61,67,1497999,38,4,0,0,0,4,苏霈
